Disease,Symptoms,Treatments
Retinoblastoma: Children,"['Some children with a family history of retinoblastoma are picked up by screening before they have any symptoms.', 'If there’s no family history of retinoblastoma, the first sign of the condition is often a white pupil that does not reflect light (leukocoria). This may be picked up when a picture of your child is taken using flash photography. The pupil of the affected eye may look white in the photograph.', 'Some children may have a squint or, if the tumour is large, they may have a painful red eye.']","['This is the use of anti-cancer (cytotoxic) drugs to destroy cancer cells. It may be given before the local treatments mentioned above, to help shrink the tumour and make treatment more successful. Chemotherapy can also be used if the cancer has spread to other parts of the body, or if there’s a risk that it may spread. The chemotherapy drugs most commonly used to treat retinoblastoma are carboplatin, etoposide, and vincristine.', 'Newer techniques include giving chemotherapy directly into the artery (the blood vessel) that supplies the eye (intra-arterial chemotherapy) or injecting chemotherapy into the central gelatinous part of the eye (intra-vitreal chemotherapy).', 'If the tumour is very large and the vision in the eye is lost, your child is likely to need an operation to remove the eye. The specialist will only do this if it is absolutely necessary. An artificial eye is then fitted.', 'Radiotherapy treats cancer by using high energy rays from a machine to destroy the cancer cells, while doing as little harm as possible to normal cells. It can be given to the whole eye but does have some effect on the surrounding tissue. Radiotherapy for retinoblastoma is normally only used when other treatments have not worked well.']"
Rhabdomyosarcoma,"['The most common symptom is a lump or swelling. Other symptoms will depend on the part of the body that’s affected by the rhabdomyosarcoma:', 'a\xa0tumour in the head or neck area can sometimes cause a blockage (obstruction) and discharge from the nose or throat; occasionally, an eye may appear swollen and protruding', 'a\xa0tumour in the abdomen (tummy) can cause pain or discomfort in the abdomen and difficulty going to the toilet (constipation)', 'a\xa0tumour in the bladder may cause symptoms such as blood in the urine and difficulty passing urine (peeing)']","['The side effects will depend on the treatment being given and the part of the body that is being treated. Your child’s doctor will discuss this with you before treatment starts. Most side effects are short-term (temporary) and gradually disappear once treatment stops.', 'Chemotherapy may cause side effects such as feeling sick, hair loss , tiredness , and an increased risk of infection. But it can also make your child feel better by relieving any symptoms the tumour is causing.', 'Radiotherapy can make your child feel tired, and the skin in the area that’s being treated may go red or get darker. Other side effects will depend on the area of the body that is being treated. Your child’s specialist doctor or nurse will explain this.']"
Rheumatoid arthritis,"['The symptoms of rheumatoid arthritis vary from person to person. They can come and go, and may change over time.', 'Symptoms of rheumatoid arthritis that affect the joints include:', 'pain', 'swelling', 'stiffness and difficulty moving affected joints', 'redness', 'heat around the joints']","['Different types of medications can be used to treat rheumatoid arthritis to relieve joint pain, stiffness and swelling. This will also reduce the chance of developing joint damage.', 'The two main types of medication are:', 'disease-modifying anti-rheumatic drugs (DMARDs)', 'biologic treatments', 'They usually need to be taken for a long-time. They are most effective when started early after the first symptoms.']"
Ringworm and other fungal infections,['The symptoms of a tinea fungal infection depend on where the infection is.'],"['Most ringworm infections are mild and can be treated using a pharmacy antifungal cream. Scalp infections can be treated with antifungal tablets, sometimes combined with antifungal shampoo. If the skin is irritated or broken, it can lead to other bacterial infections, which may need treatment with antibiotics . Read more about how to treat fungal infections .']"
Rosacea,"['Rosacea causes a range of symptoms, although not everyone will experience them all.', 'Most people with rosacea have periods when their symptoms are particularly troublesome, followed by periods\xa0when their symptoms are less so.', 'The main symptoms of rosacea include:', 'flushing', 'persistent facial redness', 'visible blood vessels', 'papules and pustules', 'thickened skin']","['There’s currently no cure for rosacea, but treatment can help control the symptoms.', 'Long-term treatment\xa0is usually necessary, although there may be periods when your symptoms improve and you can stop treatment temporarily.', 'For most people, treatment involves a combination of self-help measures and medication, such as:', 'avoiding known triggers – for example, avoiding drinks containing alcohol or caffeine', 'creams and gels – medications applied directly to the skin to reduce spots and redness', 'oral medications – tablets or capsules that can\xa0help clear up more severe spots, such as oral antibiotics']"
Scabies,"['The main symptoms of scabies are intense itching and a rash in areas of the body where the mites have burrowed.', 'The itching is often worse at night when your skin is warmer.']","['The 2 most common treatments for scabies are permethrin cream and malathion lotion. Both medications contain insecticides that kill the scabies mite.', 'Permethrin cream is usually recommended as the first treatment. Malathion lotion is used if permethrin isn’t effective.', 'To help reduce the itchiness, you may also be given:', 'steroid cream', 'menthol cream or gel', 'antihistamines']"
Scarlet fever,"['Scarlet fever usually follows a sore throat or a skin infection, like impetigo , caused by particular strains of Streptococcus bacteria.', 'The symptoms of scarlet fever usually develop 2 to 5 days after infection. However, the incubation period (the period between exposure to the infection and symptoms appearing) can be as short as one day or as long as 7 days.']","['If you think you or your child may have scarlet fever, see your GP for a proper diagnosis and appropriate treatment. It usually clears up after about a week', 'Your GP should be able to diagnose scarlet fever by examining the distinctive rash and asking about other symptoms. They may also decide to take a sample of saliva from the back of the throat so it can be tested in a laboratory to confirm the diagnosis.', 'There’s no evidence to suggest that catching scarlet fever when pregnant will put your baby at risk. However, if you’re heavily pregnant, tell the doctors and midwives in charge of your care if you’ve been in contact with someone who has scarlet fever.']"
Schizophrenia,"['Changes in thinking and behaviour are the most obvious signs of schizophrenia, but people can experience symptoms in different ways.', 'The symptoms of schizophrenia are usually classified into one of two categories\xa0–\xa0positive or negative.', 'positive symptoms – represent a change in behaviour or thoughts, such as hallucinations or delusions', 'negative symptoms – represent a withdrawal or lack of function that you would usually expect to see in a healthy person; for example, people with schizophrenia often appear emotionless, flat and apathetic', 'The condition\xa0may develop slowly. The first signs of schizophrenia, such as becoming socially withdrawn and unresponsive or experiencing changes in sleeping patterns, can be hard to identify. This is because the first symptoms often develop during adolescence and changes can be mistaken for an adolescent “phase”.']","['Schizophrenia is usually treated with a combination of medication and therapy\xa0appropriate to each individual. In most cases, this will be antipsychotic\xa0medicines and cognitive behavioural therapy (CBT).', 'People with schizophrenia will usually receive help from a community mental health team (CMHT), which will offer day-to-day support and treatment.', 'Many people recover from schizophrenia, although they may have periods when symptoms return (relapses). Support and treatment can help\xa0reduce the impact\xa0the condition has\xa0on your life.', 'Read more about treating schizophrenia.']"
Sciatica,"['Sciatica can have a range of symptoms, these can include:', 'lower back pain', 'leg pain, often this feels worse than back pain', 'a change in sensation in the leg or foot', 'muscle spasms\u202fin the back', 'a weakness in the leg or foot']","['Most people will recover from sciatica with a combination of time, modifying activity, and pacing themselves to allow the nerves to adapt. Pain medication, staying active, and gentle exercise will also help.', 'The nerve can still be sensitive so it is recommended to build up your tolerance to activities slowly.\u202f\u202fThe little and often approach to movement is recommended.']"
About scoliosis,"['Scoliosis is usually first noticed by a change in the appearance of the back.', 'Typical signs include:', 'a visibly curved spine', 'one shoulder being higher than the other', 'one shoulder or hip being more prominent than the other', 'clothes not hanging properly', 'a prominent ribcage', 'a difference in leg lengths']","['Read about scoliosis treatment for children and young people', 'Read about scoliosis treatment for adults']"
Seasonal affective disorder (SAD),"['The symptoms of seasonal affective disorder (SAD) differ throughout the year and from person to person.', 'The symptoms of SAD are usually fairly mild at the start of the autumn. They might get worse as the winter progresses and the amount of sunlight decreases. However, the nature and severity of the symptoms of SAD will vary from person to person.', 'If you have SAD, you may experience depressive symptoms like:', 'low mood', 'a loss of pleasure or interest in normal, everyday activities', 'irritability', 'feelings of despair', 'feelings of guilt and worthlessness', 'low self-esteem', 'indecisiveness', 'tearfulness', 'stress or anxiety', 'a reduced sex drive']","['Your GP will recommend the most suitable treatment option for you. This may involve using a combination of treatments to get the best results.', 'Treatment options may include:', 'cognitive behavioural therapy (CBT) – a talking therapy . It helps you change how you think and react to situations that are making you unhappy', 'counselling – another type of talking therapy where you talk to a trained counsellor about your worries and problems', 'psychodynamic psychotherapy – where you can discuss how you feel about yourself, how you feel about others and experiences in your past']"
Sepsis,['Sepsis can cause a variety of symptoms.'],"['You’ll need emergency treatment, or treatment in an intensive care unit (ICU), if:', 'the sepsis is severe', 'you develop septic shock – when your blood pressure drops to a dangerously low level', 'ICUs can support body functions like breathing that are affected by sepsis. This allows the medical staff to focus on treating the infection.', 'Sepsis is treatable if it’s identified and treated quickly. In most cases it leads to full recovery with no lasting problems.']"
Septic shock,"['You’ll usually be admitted to an intensive care unit (ICU) so your body’s functions and organs can be supported while the infection is treated. In some cases treatment may start in the emergency department.', 'Treatment may include:', 'oxygen therapy', 'fluids given directly through a vein (intravenously)', 'medication to increase your blood flow', 'antibiotics', 'surgery (in some cases)']","['You’ll usually be admitted to an intensive care unit (ICU) so your body’s functions and organs can be supported while the infection is treated. In some cases treatment may start in the emergency department.', 'Treatment may include:', 'oxygen therapy', 'fluids given directly through a vein (intravenously)', 'medication to increase your blood flow', 'antibiotics', 'surgery (in some cases)']"
Severe head injury,['The symptoms of a severe head injury can vary from person to person.'],"['A person with a severe head injury should be seen in an A&E (accident and emergency) department.', 'The healthcare professionals treating you will prioritise any life-threatening injuries. Once you’re in a stable condition, they’ll ask some questions. This can help with the diagnosis and treatment of your injury.', 'If someone witnessed your accident, it’s helpful for them to come to hospital with you to describe what happened.']"
Shingles,"['The main symptom of shingles is pain, followed by a rash that develops into itchy blisters . These look like chickenpox .', 'Sometimes shingles causes symptoms that develop a few days before the painful rash. This includes symptoms like:', 'a headache', 'burning, tingling, numbness or itchiness of the skin in the affected area', 'a feeling of being generally unwell', 'a high temperature (fever)']","['There’s no cure for shingles. But, there are ways to ease your symptoms until the condition improves.', 'Shingles symptoms usually get better in 2 to 4 weeks.', 'Speak to your GP or pharmacist as soon as you get symptoms of shingles. Early treatment may help to reduce the severity of the condition and complications.']"
Shortness of breath,"['It’s possible to have a heart attack without having all the obvious symptoms, such as chest pain and anxiety.', 'In this case, shortness of breath may be the only warning sign you’re having a heart attack. If you or your GP think this is the case, they’ll give you aspirin and admit you to hospital straight away.', 'Heart failure can also cause breathing difficulties. Heart failure means your heart cannot pump enough blood around your body. It’s usually because the heart muscle has become too weak or stiff to work properly. It leads to a build-up of fluid inside the lungs, which makes breathing more difficult. Lifestyle changes and medicines or surgery will help the heart pump better and relieve your breathlessness.', 'Breathlessness could also be linked to a problem with your heart rate or rhythm. For example, atrial fibrillation (an irregular and fast heart rate) or supraventricular tachycardia (regular and fast heart rate).']","['Your doctor may ask you some questions, such as:', 'did the breathlessness come on suddenly or slowly?', 'did anything trigger it, such as exercise?', 'how bad is it?', 'does it only happen when you’ve been active, or when you’re not doing anything?', 'is there any pain when you breathe?', 'do you have a cough?', 'do certain positions make it worse – for example, can you lie down?']"
Sickle cell disease,"['The main symptoms of sickle cell disease are sickle cell crises (very painful episodes affecting different parts of the body), infections, and anaemia.']","['Children who have sickle cell disease should be kept up to date on all of their routine vaccinations, and may also need additional vaccinations like the hepatitis B vaccine and the annual flu vaccine.', 'If you have sickle cell disease, you’ll most likely need to take a dose of antibiotics every day, usually penicillin. This will not pose serious health risks.', 'Reduce risk in day-to-day life by being careful about activities that can make you vulnerable to infection. Always follow good food hygiene measures , for example.', 'If you’re planning to go abroad, talk to your GP as far in advance as you can. You might need extra vaccinations or medication, such as anti-malarials if you’re going to a place where malaria is a risk. It may also be a good idea to take extra precautions when it comes to food and water.']"
Sinusitis,"['Sinusitis usually occurs after an infection, such as a cold .', 'Symptoms of sinusitis include:', 'a green or yellow discharge from your nose', 'a blocked nose', 'pain and tenderness around your cheeks, eyes or forehead', 'a high temperature (fever) of 38°C (100.4°F) or more', 'toothache', 'a reduced sense of smell', 'bad breath (halitosis)']","['If your symptoms are mild and getting better, you can often treat sinusitis without seeing a GP.']"
Sjogren’s syndrome,"['The most commonly reported symptoms of Sjögren’s syndrome are a dry mouth and eyes, which can lead to other associated symptoms.', 'However, these symptoms can be common in old age, and most people with\xa0dry eyes or a dry mouth do not have Sjögren’s syndrome.', 'Many women also experience vaginal dryness, which can make sex painful.']","['There is no cure for Sjögren’s syndrome, but treatments can help control symptoms.', 'Dry eyes and mouth can usually be\xa0helped with artificial tears and saliva.', 'It’s important to maintain good eye and mouth hygiene, because your risk of developing an infection is greater. Taking care of your eyes and mouth can help prevent problems such as\xa0corneal ulcers and tooth decay .', 'In severe cases, medication or surgery may be recommended.', 'Read more about treating Sjögren’s syndrome']"
Skin cancer (melanoma),"['Signalling inhibitors are drugs that work by disrupting the messages (signals) a cancer uses to co-ordinate its growth. There are hundreds of these signals, and it is difficult to know which ones need to be blocked. Most of the signals have short, technical names. Two that are of current interest in relation to melanoma are BRAF and MEK.', 'There are drugs available that can interfere with these signals, but most are currently only widely available as part of clinical trials.', 'NICE recommends a signalling inhibitor called vemurafenib as a possible treatment for melanoma that has spread or cannot be surgically removed.']","['Chemotherapy involves using anti-cancer (cytotoxic) drugs to kill the cancer.\xa0It is normally used to treat melanoma that has spread to parts of the body and is mainly given to help relieve symptoms of advanced melanoma.', 'Several different chemotherapy drugs are used to treat melanoma and are occasionally given in combination. The drugs most commonly used for melanoma are dacarbazine and temozolomide. However, many different types of drugs can be used. Your specialist can discuss with you which drugs are the most suitable.', 'Chemotherapy is usually given as an outpatient treatment, which means you will not have to stay in hospital overnight. Dacarbazine is given through a drip and temozolomide is given in tablet form. Chemotherapy sessions are usually given once every 3 to 4 weeks, with gaps between treatment intended to give your body and blood time to recover.', 'The main side effects of chemotherapy are caused by their influence on the rest of the body. Side effects include infection, nausea and vomiting, tiredness and sore mouth. Many side effects can be prevented or controlled with medicines that your doctor can prescribe.']"
Skin cancer (non-melanoma),"['Your GP can examine your skin for signs of skin cancer. They may refer you to a skin specialist (dermatologist) or a specialist plastic surgeon if they are unsure or suspect skin cancer.', 'Your GP may refer you urgently, within 2 weeks, for squamous cell skin cancer. Basal cell skin cancers usually don’t need an urgent referral but you should still see a specialist within 18 weeks.', 'The specialist will examine your skin again and will perform a biopsy to confirm a diagnosis of skin cancer.', 'A biopsy is an operation that removes some affected skin so it can be studied under a microscope.', 'Read more about diagnosing non-melanoma skin cancer']","['Surgery is the main treatment for non-melanoma skin cancer, although it may depend on your individual circumstances.', 'Overall, treatment is successful for more than 90% of people with non-melanoma skin cancer.', 'People with cancer should be cared for by a team of specialists that often includes a dermatologist, a plastic surgeon, an oncologist (a radiotherapy and chemotherapy specialist), a pathologist and a specialist nurse.', 'If you have non-melanoma skin cancer, you may see several (or all) of these professionals as part of your treatment.', 'When deciding what treatment is best for you, your doctors will consider:']"
Skin light sensitivity (photosensitivity),"['Skin light sensitivity means that you get symptoms when the skin is exposed to light. Some common symptoms include:', 'skin rash', 'skin pain', 'itching', 'a burning or heat sensation on the skin', 'blistering or fragile skin', 'sunburn that happens very easily']","['A light sensitivity rash may be prevented with sun protection and by avoiding the sun.', 'Your doctor will tell you if you need any other treatments. This could include light-based treatments or immune suppressant treatments.', 'Psychological support\xa0may be needed if light sensitivity affects your day-to-day life.', 'You may also need to take a vitamin D supplement if you have a light sensitivity condition.', 'Further information on managing light sensitivity']"
Skin rashes in children,"['An itchy, spotty rash is the main symptom of chickenpox. It can be anywhere on the body. Some children only have a few spots. Others have them all over their body.', 'The spots turn into fluid-filled blisters. This can be very itchy and some may burst.', 'These spots crust over to form scabs, which after a while drop off.']",['Cellulitis can usually be diagnosed by assessing the symptoms and examining the skin. It usually responds well to treatment with antibiotics.']
Slapped cheek syndrome,"['Symptoms of slapped cheek syndrome usually develop 4 to 14 days after becoming infected. Sometimes, symptoms may not appear for up to 21 days.']","['You don’t usually need to see your GP if you think you or your child has slapped cheek syndrome as it normally gets better on its own.', 'In these cases, a blood test may be carried out to see if you’re immune to the infection. If you’re not immune, you’ll be monitored carefully to check for any problems.', 'If you develop severe anaemia, it’s likely that you’ll be sent to hospital for a blood transfusion .']"
Soft tissue sarcomas,"['As soft tissue sarcomas can develop in most parts of the body, they can cause a wide range of symptoms.', 'For example, a tumour near the stomach may cause abdominal (tummy) pain , a feeling of fullness and constipation , whereas a tumour near the lungs may cause a cough or breathlessness .', 'There are often no obvious symptoms in the early stages of soft tissue sarcomas, although you may notice a soft, painless lump under your skin or deeper, that can’t easily be moved around and gets bigger over time.', 'You should speak to your GP if you have a worrying lump or any other troublesome symptoms. A lump the size of a golf ball or larger should be regarded as suspicious and needs to be investigated urgently.', 'Although it is much more likely you have a benign (non-cancerous) condition, it is important to get your symptoms checked out.']","['Radiotherapy is often used after surgery to destroy any remaining cancer cells. This is carried out using an external machine that directs beams of radiation at a defined treatment area.', 'Radiotherapy may also sometimes be used before surgery to make a tumour easier to remove, or as part of your treatment to reduce your symptoms if surgery is not possible.', 'Common side effects of radiotherapy include sore skin, tiredness and\xa0hair loss\xa0in the treatment area. These tend to get better within a few days or weeks of treatment finishing.', 'Read more about the side effects of radiotherapy']"
Soft tissue sarcomas: Teenagers and young adults,"['The symptoms of a sarcoma will depend on where it is:', 'if it’s in an arm or leg, symptoms include a lump or swelling in the limb – this is usually painless, but not always', 'if it’s in the tummy (abdomen), symptoms include a painful, swollen tummy, and problems going to the toilet to poo (called constipation)', 'if it’s in your bladder, symptoms include pain in the lower tummy, finding it difficult to pee (pass urine), and having blood in your pee', 'if it’s in the chest, symptoms can include breathlessness, a cough and pain in your chest', 'if it’s in the head or neck, symptoms include a lump, a blockage and discharge from the nose or throat;\xa0occasionally an eye may become swollen and stick out a bit']","['This section is for teenagers and young adults. It’s about treatment for a type of cancer called a soft tissue sarcoma. There are different types of soft tissue sarcoma, and the information in this section covers rhabdomyosarcomas, synovial sarcomas and fibrosarcomas, which are the most common types in teenagers.', 'If you have a different type and want to know more, contact Macmillan Cancer Support .', 'The 3 main types of treatment for soft tissue sarcomas are surgery, chemotherapy and radiotherapy.', 'Most people have a combination of treatments. Your doctors will plan your treatment based on:', 'the\xa0type of sarcoma you have', 'the stage of the cancer (how big it is and whether it has spread from where it started)', 'the grade of the cancer (how fast-growing the cancer cells are).']"
Sore throat,"['Sore throats are very common and usually nothing to worry about. They normally get better within a week.', 'Most are caused by minor illnesses such as cold or flu and can be treated at home.']","['If you have a sore throat, you can get advice and treatment directly from a pharmacy.', 'You don’t usually need to get medical advice if you have a sore throat. Your pharmacist may advise you to see your GP if:', 'your symptoms are severe – for example with a high temperature or you feel shivery', 'you have persistent symptoms that haven’t started to improve after a week', 'you experience severe sore throats frequently', 'you have a weak immune system – for example, you have HIV , are having chemotherapy , or are taking medication that suppresses your immune system']"
Spina bifida,"['Spina bifida can cause symptoms like:', 'weakness or complete loss of movement of lower limbs', 'sensation changes in the legs and/or torso', 'curvature of the spine due to muscle weakness (scoliosis)', 'urinary incontinence', 'urinary retention', 'repeat or frequent urinary tract infections', 'kidney problems', 'bowel incontinence, leading to constipation and/or diarrhoea', 'hydrocephalus (excess fluid on the brain)', 'skin problems', 'latex allergy']",['The treatment of spina bifida will depend on what type you or your child has.']
Spinal stenosis,"['Symptoms of spinal stenosis can vary. Many people experience no symptoms at all. Though uncommon, some people can experience both lumbar and cervical stenosis at the same time.']","['Many people can cope with their symptoms, as time can allow the nerves to adapt. Management options are based on a number of factors including individual’s symptoms, general health and patient preference.', 'Treatment options include:']"
Spleen problems and spleen removal,"['Spleen pain is usually felt as a pain behind your left ribs. It may be tender when you touch the area.\xa0This can be a sign of a damaged, ruptured or enlarged spleen.']","['It’s normal to feel sore and be bruised after a splenectomy, but you’ll be given pain relief medication.', 'You should be able to eat and drink as normal soon after the operation.', 'Like any operation, a splenectomy carries a small risk of complications, including bleeding and infection.', 'Your doctor will run through these risks with you.', 'You should be given breathing and leg movement exercises to do\xa0at home, to reduce your risk of getting a blood clot or a chest infection.']"
Stillbirth,['Information not available'],"['You will need care from your midwife and doctor to make sure your body is recovering. Your midwife will assist you through all the decisions you need to make and help you to find the right support.', 'You don’t have to manage alone and it can sometimes help to talk with others who have been through baby loss. You, your baby’s father or your partner and your family are likely to need time to grieve.']"
Stomach ache and abdominal pain,['A stomach ache is cramps or a dull ache in the tummy (abdomen). It usually\xa0does not last long\xa0and is often not serious.\xa0Severe abdominal pain is a greater cause for concern.'],['Complete our self-help guide to check your symptoms and find out what to do next.']
Stomach cancer,"['Many symptoms of stomach cancer are similar to less serious conditions, so it can be difficult to recognise in the early stages.', 'Early stage symptoms include:', 'persistent indigestion', 'trapped wind and frequent burping', 'heartburn', 'feeling full very quickly when eating', 'feeling bloated after eating', 'feeling sick', 'pain in your stomach or breastbone', 'difficulty swallowing ( dysphagia )', 'vomiting (the vomit may be streaked with blood), although this is uncommon in the early stages']","['The main treatments for stomach cancer are surgery, chemotherapy and radiotherapy . You may have 1 of these treatments or a combination.', 'If surgery is recommended, you may have chemotherapy beforehand. If the tumour is in the upper part of your stomach, including the junction between the oesophagus and stomach, you may also have radiotherapy prior to surgery.', 'Surgery is mainly used if stomach cancer is diagnosed at an early stage, whereas chemotherapy and radiotherapy tend to be used when the condition is diagnosed at a later stage.', 'Where possible, the primary aim of treatment is to completely\xa0remove the tumour and any other cancerous cells in your body.\xa0It’s estimated that a cure is possible in 20 to 30% of stomach cancer cases.', 'If it’s not possible to remove the tumour, your doctors will focus on trying to prevent it from getting any bigger and causing further harm to your body. This may be done using surgery or chemotherapy.']"
Stomach ulcer,"['Although the most common symptom of a stomach ulcer is a burning or gnawing pain in the centre of the abdomen (tummy). Not all stomach ulcers are painful.', 'Some people experience:', 'indigestion', 'heartburn', 'nausea (feeling sick)']","['You’ll be treated using antibiotics if your ulcer was caused by a H. pylori infection. This kills the bacteria and should prevent the ulcer coming back.', 'You’ll be treated using a proton pump inhibitor (PPI) if your ulcer was caused by NSAIDs. Your doctor will prescribe these and discuss whether you should keep using NSAIDs. Alternative medication to NSAIDs, such as paracetamol , may be recommended.', 'Most stomach ulcers take a few months to heal after treatment. However, stomach ulcers can come back after treatment, although this is less likely to happen if the underlying cause is addressed.', 'More about treating stomach ulcers']"
Streptococcus A (strep A),"['Most GAS infections are relatively mild illnesses that clear up on their own without the need for antibiotics.', 'Often symptoms that look like GAS infections, like sore throats , are more commonly caused by viruses than GAS bacteria. If you or your child has a runny nose with their sore throat, it’s likely to be a virus infection. Sore throats caused by viruses do not need to be treated with antibiotics unless there are concerns about complications.', 'More about sore throat symptoms, self-care at home, and what to do if your condition worsens', 'Your healthcare professional will consider antibiotics if they think:', 'you or your child need medication to get better or to ease symptoms', 'you or your child are at risk of serious complications from a GAS infection', 'you or your child has scarlet fever']","['Most GAS infections are relatively mild illnesses that clear up on their own without the need for antibiotics.', 'Often symptoms that look like GAS infections, like sore throats , are more commonly caused by viruses than GAS bacteria. If you or your child has a runny nose with their sore throat, it’s likely to be a virus infection. Sore throats caused by viruses do not need to be treated with antibiotics unless there are concerns about complications.', 'More about sore throat symptoms, self-care at home, and what to do if your condition worsens', 'Your healthcare professional will consider antibiotics if they think:', 'you or your child need medication to get better or to ease symptoms', 'you or your child are at risk of serious complications from a GAS infection', 'you or your child has scarlet fever']"
"Stress, anxiety and low mood",['Learn about the signs of problem gambling and how to get help and support.'],['Get advice on managing work-related stress and find out ways to manage stress at work.']
Stroke,"['The main symptoms of stroke can be remembered with the word FAST. FAST stands for:', 'Face – the face might drop on one side, the person may not be able to smile or their mouth may have dropped, and their eyelid may droop', 'Arms – the person may not be able to lift both arms and keep them there because of arm weakness or numbness in one arm', 'Speech – they might slur their speech or it might be garbled, or the person may not be able to talk at all despite appearing to be awake', 'Time – it’s time to\xa0phone 999 immediately if you see any of these signs or symptoms']","['Effective treatment of stroke can reduce the risk of long-term disability and save lives.', 'Treatment of stroke has 2 main purposes:', 'The first is the immediate treatment in the first few hours of a stroke to minimise the damage to the brain and reduce long term effects. This is why its important to get urgent help, by phoning 999 or going to A&E, for someone you think is having a stroke.', 'Treatment is then started to reduce the risk of further strokes and to reduce the risk of complications from a stroke.', 'The specific treatments recommended depend on whether a stroke is caused by:']"
Subacromial pain syndrome,"['The main symptom is pain in the upper arm caused by specific movements or activities. These are usually activities that involve lifting the arm above shoulder level and reaching behind the back, for example when putting a jacket on.', 'It may be difficult to lie on the affected shoulder which can disturb your sleep.']","['Pain medication can help you move more comfortably, which can help your recovery.', 'More about taking painkillers', 'Corticosteroid Injections', 'If painkillers aren’t helping to control the pain, your healthcare professional may discuss the option of having a corticosteroid injection into your shoulder joint.', 'Corticosteroids are medicines that help reduce pain and inflammation. They may also be given with a local anaesthetic .']"
Sudden infant death syndrome (SIDS),"['Adult beds aren’t designed for babies. Before you bed-share, consider whether you think it’s a safe place for your baby to sleep. Check that:', 'your baby cannot fall out of the bed', 'your baby cannot get trapped between the mattress and the wall', 'your adult bedding can be kept away from your baby', 'other children and pets will not be in the bed at the same time as your baby']","['Don’t expect your baby to sleep several times a day and wake only for feeds and to smile, there will be some crying and grumbling.']"
Suicide,['Information not available'],['Information not available']
Sunburn,"['Your GP may recommend using hydrocortisone cream for a few days (this is also available over the counter at pharmacies) to reduce the inflammation of your skin.', 'Severe sunburn may require special burn cream and burn dressings from your GP or a nurse at your GP practice. Very occasionally, hospital treatment may be needed.']","['If you or your child has sunburn, you should get out of the sun as soon as possible – head indoors or into a shady area.', 'You can usually treat mild sunburn at home, although there are some circumstances where you should seek medical advice.', 'The following advice may help to relieve your symptoms until your skin heals.']"
Supraventricular tachycardia,"['If you have supraventricular tachycardia, you’ll usually feel your heart racing in your chest or throat.', 'The heart rate is usually between 140 to 180 beats per minute but can be as high as 250. A normal heartbeat should be 60 to 100 beats per minute at rest.', 'During a supraventricular tachycardia, the heart muscle contracts very fast. This means that it cannot relax properly between contractions to fill with blood. This reduces the amount of blood being pumped around the body.', 'Therefore, you may also feel:', 'chest pain', 'dizziness', 'light-headedness', 'fatigue (tiredness)', 'breathlessness']","['The treatment for supraventricular tachycardia varies from person to person. It depends on:', 'the type of supraventricular tachycardia you have', 'your symptoms', 'treatment of any underlying cause', 'your age', 'your overall health']"
Swollen glands,['When an infection causes swollen glands you can help to ease symptoms at home.'],['Information not available']
Syphilis,"['Most people with syphilis don’t notice any symptoms and don’t know they have it. Symptoms change over time and may come and go.', 'Syphilis usually has 3 stages.']","['Antibiotics will treat the syphilis infection, even during pregnancy. These are given by injection, tablets or capsules.', 'Treatment may be started before your test result is known. You may be given one or more doses, depending on the stage of infection.', 'You’ll need to go back to your GP practice or sexual health clinic 6 and 12 weeks after starting treatment to be retested.', 'You should avoid having sex until you and your partner (s) have finished treatment and your tests have shown treatment has worked. This includes oral sex and sex using a condom.', 'Your partner should also get tested for syphilis. It can be hard to spot in its early stages and they might not realise they have it. They will generally be offered treatment regardless.']"
Self-harm,"['Types of self-harm may include:', 'cutting the skin', 'burning the skin', 'punching your own body', 'poisoning yourself with tablets', 'misusing alcohol or drugs', 'eating disorders, such as deliberately starving yourself ( anorexia nervosa ), binge eating or bulimia']","['It is important for anyone who self-harms to see their GP, who will aim to treat the underlying emotional cause as well as any physical injury.', 'Your GP is likely to ask you about your feelings in some detail. They will want to establish why you self-harm, what triggers it and how you feel afterwards.', 'Your GP may ask you some questions to see if you have an underlying condition such as depression, anxiety or borderline personality disorder. If the way you self-harm follows a particular pattern of behaviour, such as an eating disorder, you may be asked additional questions about this. Your height, weight and blood pressure may also be checked, and you may be asked about any drinking or drug-taking habits.', 'It is important that you are honest with your GP about your symptoms and your feelings. If you don’t know why you self-harm, tell your GP this.']"
Tennis elbow,"['Tennis elbow causes pain and tenderness on the outside of your elbow that may spread down your forearm.', 'This can cause:', 'difficulty with gripping.', 'difficulty with twisting movements such as opening jars.', 'restriction in movement at the elbow.', 'tenderness when touching the area.']","['Pain medication can help you move more comfortably, which can help your recovery.', 'More about taking painkillers .', 'Elbow Support', 'Some people find an elbow support, sometimes called an epiclasp, can be helpful to manage the pain caused by tennis elbow.', 'Research suggests they may be useful in the short term but overall there is limited evidence to support their use.']"
